Minor_Group_Key,Minor_Group,Description,Predominant_Skill_Levels,Minor_Group_Date
07563a3fe3bbe7e3ba84431ad9d055af,521,Personal Assistants and Secretaries,2,2024-07-11
0fcbc61acd0479dc77e3cccc0f5ffca7,531,General Clerks,4,2024-07-11
298f95e1bf9136124592c8d4825a06fc,532,Keyboard Operators,4,2024-07-11
16c222aa19898e5058938167c8ab6c57,541,Call or Contact Centre Information Clerks,4,2024-07-11
7dcd340d84f762eba80aa538b0c527f7,542,Receptionists,4,2024-07-11
7f24d240521d99071c93af3917215ef7,551,Accounting Clerks and Bookkeepers,"3,4",2024-07-11
94c7bb58efc3b337800875b5d382a072,552,Financial and Insurance Clerks,"3,4",2024-07-11
58ae749f25eded36f486bc85feb3f0ab,561,Clerical and Office Support Workers,5,2024-07-11
3493894fa4ea036cfc6433c3e2ee63b0,591,Logistics Clerks,4,2024-07-11
3435c378bb76d4357324dd7e69f3cd18,599,Miscellaneous Clerical and Administrative Workers,"3,4",2024-07-11
8ebda540cbcc4d7336496819a46a1b68,611,Insurance Agents and Sales Representatives,"3,4",2024-07-11
f76a89f0cb91bc419542ce9fa43902dc,612,Real Estate Sales Agents,3,2024-07-11
85fc37b18c57097425b52fc7afbb6969,621,Sales Assistants and Salespersons,5,2024-07-11
b7bb35b9c6ca2aee2df08cf09d7016c2,631,Checkout Operators and Office Cashiers,5,2024-07-11
0f96613235062963ccde717b18f97592,639,Miscellaneous Sales Support Workers,"3,4,5",2024-07-11
6081594975a764c8e3a691fa2b3a321d,711,Machine Operators,"3,4",2024-07-11
19bc916108fc6938f52cb96f7e087941,712,Stationary Plant Operators,"3,4",2024-07-11
aba3b6fd5d186d28e06ff97135cade7f,721,Mobile Plant Operators,4,2024-07-11
59c33016884a62116be975a9bb8257e3,731,"Automobile, Bus and Rail Drivers",4,2024-07-11
ba3866600c3540f67c1e9575e213be0a,732,Delivery Drivers,4,2024-07-11
6c29793a140a811d0c45ce03c1c93a28,733,Truck Drivers,4,2024-07-11
2e65f2f2fdaf6c699b223c61b1b5ab89,741,Storepersons,4,2024-07-11
670e8a43b246801ca1eaca97b3e19189,811,Cleaners and Laundry Workers,"4,5",2024-07-11
4558dbb6f6f8bb2e16d03b85bde76e2c,821,Construction and Mining Labourers,"4,5",2024-07-11
e0ec453e28e061cc58ac43f91dc2f3f0,831,Food Process Workers,"4,5",2024-07-11
7250eb93b3c18cc9daa29cf58af7a004,832,Packers and Product Assemblers,5,2024-07-11
8f7d807e1f53eff5f9efbe5cb81090fb,839,Miscellaneous Factory Process Workers,"4,5",2024-07-11
02a32ad2669e6fe298e607fe7cc0e1a0,841,"Farm, Forestry and Garden Workers",5,2024-07-11
92fb0c6d1758261f10d052e6e2c1123c,851,Food Preparation Assistants,5,2024-07-11
cfbce4c1d7c425baf21d6b6f2babe6be,891,Freight Handlers and Shelf Fillers,5,2024-07-11
01882513d5fa7c329e940dda99b12147,899,Miscellaneous Labourers,"4,5",2024-07-11
