"Language_Key","Language_Code","Language_Description","Language_Date"
"91a4d5c9c78d0de89b38ff408f49f39c","5105","Tulu",2024-07-11
"fa7518562603d5c4a7ad69e2e5726f5f","5199","Dravidian, nec",2024-07-11
"f50c7035e532c49a0f6993d988e2e843","5201","Bengali",2024-07-11
"4fbe073f17f161810fdf3dab1307b30f","5202","Gujarati",2024-07-11
"94130ea17023c4837f0dcdda95034b65","5203","Hindi",2024-07-11
"2e6d9c6052e99fcdfa61d9b9da273ca2","5204","Konkani",2024-07-11
"fea16e782bc1b1240e4b3c797012e289","5205","Marathi",2024-07-11
"922073b18844540f8fe447c3e93a25b7","5206","Nepali",2024-07-11
"246a3c5544feb054f3ea718f61adfa16","5207","Punjabi",2024-07-11
"59b1deff341edb0b76ace57820cef237","5208","Sindhi",2024-07-11
"8ef0327d29dfae100751f4ed0a042790","5211","Sinhalese",2024-07-11
"c5d215777c229704a7862de577d40a73","5212","Urdu",2024-07-11
"7d3010c11d08cf990b7614d2c2ca9098","5213","Assamese",2024-07-11
"7417744a2bac776fabe5a09b21c707a2","5214","Dhivehi",2024-07-11
"a71378c0f8d76dbf90feeecd095d0ed9","5215","Kashmiri",2024-07-11
"808e53023ea4a8a9d6ecbc1290580f72","5216","Oriya",2024-07-11
"5a7b238ba0f6502e5d6be14424b20ded","5217","Fijian Hindustani",2024-07-11
"56a3107cad6611c8337ee36d178ca129","5299","Indo-Aryan, nec",2024-07-11
"cca289d2a4acd14c1cd9a84ffb41dd29","5999","Other Southern Asian Languages",2024-07-11
"2cfa47a65809ea0496bbf9aa363dc5da","6101","Burmese",2024-07-11
"7bec7e63a493e2d61891b1e4051ef75a","6102","Chin Haka",2024-07-11
"56880339cfb8fe04c2d17c6160d0512f","6103","Karen",2024-07-11
"46384036044a604b6b3316fc167fc15f","6104","Rohingya",2024-07-11
"c1d53b7a97707b5cd1815c8d228d8ef1","6105","Zomi",2024-07-11
"c2f599841f21aaefeeabd2a60ef7bfe8","6199","Burmese and Related Languages, nec",2024-07-11
"e0cd3f16f9e883ca91c2a4c24f47b3d9","6201","Hmong",2024-07-11
"ff0abbcc0227c9124a804b084d161a2d","6299","Hmong-Mien, nec",2024-07-11
"1dffefa65e27e7187c6c052be0ae02b0","6301","Khmer",2024-07-11
"a0608743660c09feb35a28905143a085","6302","Vietnamese",2024-07-11
"141661fa46b11782745bb974d5140004","6303","Mon",2024-07-11
"985e9a46e10005356bbaf194249f6856","6399","Mon-Khmer, nec",2024-07-11
"012d9fe15b2493f21902cd55603382ec","6401","Lao",2024-07-11
"72c25197b6a491816d9a84b42d7205f0","6402","Thai",2024-07-11
"6e0917469214d8fbd8c517dcdc6b8dcf","6499","Tai, nec",2024-07-11
"692baebec3bb4b53d7ebc3b9fabac31b","6501","Bisaya",2024-07-11
"4b97b5ad9d466de90e5d901c0557b21a","6502","Cebuano",2024-07-11
"64dcf3c521a00dbb4d2a10a27a95a9d8","6503","IIokano",2024-07-11
"865bf46435bd84fa5d89f64cf3ba7347","6504","Indonesian",2024-07-11
"5523d651bfb642be33057a3b78d02c9e","6505","Malay",2024-07-11
"f3adde26e4fd2dcbfbc56c48396a6d23","6507","Tetum",2024-07-11
"58d2d622ed4026cae2e56dffc5818a11","6508","Timorese",2024-07-11
"fc2e6a440b94f64831840137698021e1","6511","Tagalog",2024-07-11
"abd1c782880cc59759f4112fda0b8f98","6512","Filipino",2024-07-11
"3bff829dde3583558708865f6de7be37","6513","Acehnese",2024-07-11
"033cc385728c51d97360020ed57776f0","6514","Balinese",2024-07-11
"2327fdecafc97928d5ba62af00a05704","6515","Bikol",2024-07-11
"530468698061c34fe19ecbdf1a5fb950","6516","Iban",2024-07-11
"c646a3b8b24cb64c1314c03292fff0fd","6517","Ilonggo (Hiligaynon)",2024-07-11
"ae581798565c3b1c587905bff731b86a","6518","Javanese",2024-07-11
"5b80dc3087306fe93a4dca4faadaf71c","6521","Pampangan",2024-07-11
"cd5099c73f75235d60ec0e90c4a092aa","6599","Southeast Asian Austronesian Languages, nec",2024-07-11
"31c23973a376c90940f5f5ff2118b5d2","6999","Other Southeast Asian Languages",2024-07-11
"b33128cb0089003ddfb5199e1b679652","7101","Cantonese",2024-07-11
"c9d9edbf9b9e23eb5d4819bbcce9b078","7102","Hakka",2024-07-11
"2be8328f41144106f7144802f2367487","7104","Mandarin",2024-07-11
"a9d34fb66d81367590fdd5337324233a","7106","Wu",2024-07-11
"09676fac73eda6cac726c43e43e86c58","7107","Min Nan",2024-07-11
"b0b07fecb2354efcdfc9671484b6eaa9","7199","Chinese, nec",2024-07-11
"f9ab16852d455ce9203da64f4fc7f92d","7201","Japanese",2024-07-11
"9c779f56f336b3c812343434f57b6a0e","7301","Korean",2024-07-11
"3e883840fee4384dd3d2afea5e822517","7901","Tibetan",2024-07-11
"66fe2bcc701bb627e111be6847a8436c","7902","Mongolian",2024-07-11
"fa183ba81b8f82c988245d8d4e701366","7999","Other Eastern Asian Languages, nec",2024-07-11
"c035226640b6b89ffaf333f54e523c10","8101","Anindilyakwa",2024-07-11
"30410be149e6771f60881182342452d5","8111","Maung",2024-07-11
"b6417f112bd27848533e54885b66c288","8113","Ngan'gikurunggurr",2024-07-11
"b20fa060328b0cdf51b464ee37efe182","8114","Nunggubuyu",2024-07-11
"68dd09b9ff11f0df5624a690fe0f6729","8115","Rembarrnga",2024-07-11
"03492e99e42e7ea8480cdfb4899604f5","8117","Tiwi",2024-07-11
"afecc60f82be41c1b52f6705ec69e0f1","8121","Alawa",2024-07-11
"e9507053dd36cb9217816ffb566c8720","8122","Dalabon",2024-07-11
"15c71b874531f45bba372bfc35e9b8cf","8123","Gudanji",2024-07-11
"5934c1ec0cd31e12bd9084d106bc2e32","8127","Iwaidja",2024-07-11
"c3d96fbd5b1b45096ff04c04038fff5d","8128","Jaminjung",2024-07-11
"bd9dc58c7af906cdbac364aedd4c0848","8131","Jawoyn",2024-07-11
"8677065f187e98d8beacdc700e49f6ef","8132","Jingulu",2024-07-11
"7aa7b77461bd44a3f9da9984da1346fb","8133","Kunbarlang",2024-07-11
"426ea2897becd89515f19117a51c49f1","8136","Larrakiya",2024-07-11
"2f3d9b534d726b2d921451852adedb0c","8137","Malak Malak",2024-07-11
"e430ad64df3de73e6be33bcb7f6d0dac","8138","Mangarrayi",2024-07-11
"f1de5100906f31712aaa5166689bfdf4","8141","Maringarr",2024-07-11
"4b5b81483048c8942ed00caaa17b9535","8142","Marra",2024-07-11
"0c95054981de037de06e544a52eb3613","8143","Marrithiyel",2024-07-11
"edf0320adc8658b25ca26be5351b6c4a","8144","Matngala",2024-07-11
"202ed3792e2cfa7318b12ead83763c37","8146","Murrinh Patha",2024-07-11
"516b38afeee70474b04881a633728b15","8147","Na-kara",2024-07-11
"e2c4c0b38669387a2a842e1fe391d233","8148","Ndjebbana (Gunavidji)",2024-07-11
"debe236f3c30658190a8fe363a2b5cc0","8151","Ngalakgan",2024-07-11
"8460637fc1f901bbf7aef374050e836d","8152","Ngaliwurru",2024-07-11
"28498620653e59a7e22c2b50748e2766","8153","Nungali",2024-07-11
"d627f44819e0cdb235a1ba10dc32df2e","8154","Wambaya",2024-07-11
"fb647ca6672b0930e9d00dc384d8b16f","8155","Wardaman",2024-07-11
"6f0442558302a6ededff195daf67f79b","8156","Amurdak",2024-07-11
"3ba716f4a7265eef381f7cef9e271f27","8157","Garrwa",2024-07-11
"7ae26cbe9586dea7d1f0fa372aa86811","8158","Kuwema",2024-07-11
"64dafb11e52edd3cd840bf24e56ddce6","8161","Marramaninyshi",2024-07-11
"7f2776f553fe2d5f8bc9a0e0a6d9ec12","8162","Ngandi",2024-07-11
"95cc7ef498e141173576365264fc5fba","8163","Waanyi",2024-07-11
"a70145bf8b173e4496b554ce57969e24","8164","Wagiman",2024-07-11
"cfc5d9422f0c8f8ad796711102dbe32b","8165","Yanyuwa",2024-07-11
"1fc5309ccc651bf6b5d22470f67561ea","8166","Marridan (Maridan)",2024-07-11
"594ca7adb3277c51a998252e2d4c906e","8171","Gundjeihmi",2024-07-11
"86f2fbb60fb7b50c94009182fb4edcdd","8172","Kune",2024-07-11
"00a2aa5c43a94f625ebf713cb5bfb091","8173","Kuninjku",2024-07-11
"fc5a29b5d423c94cdfacb0f706eecdb7","8174","Kunwinjku",2024-07-11
"f2fb9d75af8f3f2eb322ff968e62a324","8175","Mayali",2024-07-11
"b45232282ea62bfccffbd5350317e7e2","8179","Kunwinjkuan, nec",2024-07-11
"299dc35e747eb77177d9cea10a802da2","8181","Burarra",2024-07-11
"427357dfbc5cc1967afeef00b8e6ec80","8182","Gun-nartpa",2024-07-11
"83462e22a65e7e34975bbf2b639333ec","8183","Gurr-goni",2024-07-11
"65184321c340b4d56581ee59b58d9d56","8189","Burarran, nec",2024-07-11
"653cd6f9efefe6d273e2c116d2a6b765","8199","Arnhem Land and Daly River Region Languages, nec",2024-07-11
"a8d2795765fb6a8659fd48d8ca7eb888","8211","Galpu",2024-07-11
"9f655cc8884fda7ad6d8a6fb15cc001e","8212","Golumala",2024-07-11
"0b3f44d9054402de39441e165a4bdfe0","8213","Wangurri",2024-07-11
"9d00670c8e26b15fdd085a04a256683c","8219","Dhangu, nec",2024-07-11
"d4ca950da1d6fd954520c45ab19fef1c","8221","Dhalwangu",2024-07-11
"532923f11ac97d3e7cb0130315b067dc","8222","Djarrwark",2024-07-11
"0396df57e78b6d04b6854dd682e27b3c","8229","Dhay'yi, nec",2024-07-11
"2004e0f2b74655ee92d3a6af6bdb6626","8231","Djambarrpuyngu",2024-07-11
"e61eaa38aed621dd776d0e67cfeee366","8232","Djapu",2024-07-11
"b6af2c9703f203a2794be03d443af2e3","8233","Daatiwuy",2024-07-11
"ef8b5fcc338e003145ac9c134754db71","8234","Marrangu",2024-07-11
"9f9a2e9ab3dc74b58ef7c5b974807751","8235","Liyagalawumirr",2024-07-11
"c81e155d85dae5430a8cee6f2242e82c","8236","Liyagawumirr",2024-07-11
"19f6a8886908b80b8b6e9f212dbeea09","8239","Dhuwal, nec",2024-07-11
"d47bf0af618a3523a226ed7cada85ce3","8242","Gumatj",2024-07-11
"cacad2aec9f4371413f91805dcea928e","8243","Gupapuyngu",2024-07-11
"dc2885225cbcb517bfea1ae528f56428","8244","Guyamirrilili",2024-07-11
"d40d35b3063c11244fbf38e9b55074be","8246","Manggalili",2024-07-11
"315f006f691ef2e689125614ea22cc61","8247","Wubulkarra",2024-07-11
"4f6312fa44a894eab0d022fce42592bf","8249","Dhuwala, nec",2024-07-11
"c8ecfaea0b7e3aa83b017a786d53b9e8","8251","Wurlaki",2024-07-11
"51f4efbfb3e18f4ea053c4d3d282c4e2","8259","Djinang, nec",2024-07-11
"60cb558c40e4f18479664069d9642d5a","8261","Ganalbingu",2024-07-11
"35bf98501edec1431e0c2fabe948da66","8262","Djinba",2024-07-11
"854f1fb6f65734d9e49f708d6cd84ad6","8263","Manyjalpingu",2024-07-11
"5fd513e89cc656d9c7ab2bca4168a4f2","8269","Djinba, nec",2024-07-11
"d1d5923fc822531bbfd9d87d4760914b","8271","Ritharrngu",2024-07-11
"f4beeba0dd6c190c6ac02f85e7b3691c","8272","Wagilak",2024-07-11
"01ce84968c6969bdd5d51c5eeaa3946a","8279","Yakuy, nec",2024-07-11
"9375084629cd055e6b819053bc9714de","8281","Nhangu",2024-07-11
"168efc366c449fab9c2843e9b54e2a18","8282","Yan-nhangu",2024-07-11
"1454ca2270599546dfcd2a3700e4d2f1","8289","Nhangu, nec",2024-07-11
"e2a08f2ebe0d5593fdb22010cd00c7c2","8291","Dhuwaya",2024-07-11
"d6b5b6924f7f8118104cd3e3921deeac","8292","Djangu",2024-07-11
"a11513a4f1fd7e7b0c29be2cf7ad701d","8293","Madarrpa",2024-07-11
"aceacd5df18526f1d96ee1b9714e95eb","8294","Warramiri",2024-07-11
"d202ed5bcfa858c15a9f383c3e386ab2","8295","Rirratjingu",2024-07-11
"acef5cc0bd5a0c190494e34ea4b04811","8299","Other Yolngu Matha, nec",2024-07-11
"1e79596878b2320cac26dd792a6c51c9","8301","Kuku Yalanji",2024-07-11
"c1bb2ec7a913e32a2d05cacf3b83cd1b","8302","Guugu Yimidhirr",2024-07-11
"b0c2b4c9093282097ead26fb94f6d113","8303","Kuuku-Ya'u",2024-07-11
"2f014b914ea5e7c04fc6cbde68d02141","8304","Wik Mungkan",2024-07-11
"d7488039246a405baf6a7cbc3613a56f","8305","Djabugay",2024-07-11
"7fc9fd4c6654dea5be92c8ffd53bea1e","8306","Dyirbal",2024-07-11
"680f0fc378c4abff9d8f271c95e799c3","8307","Girramay",2024-07-11
"79e3eb7e992b7f766bdd77cc502ff082","8308","Koko-Bera",2024-07-11
"1f5f6ad95cc908a20bb7e30ee28a5958","8311","Kuuk Thayorre",2024-07-11
"e046ede63264b10130007afca077877f","8312","Lamalama",2024-07-11
"bf2fe6582ed9ead9161a3d6f6b1d6858","8313","Yidiny",2024-07-11
"7a951116de2a4c23c74733d76046a5b4","8314","Wik Ngathan",2024-07-11
"68881d2246abebc3aa474b51ecd7773e","8315","Alngith",2024-07-11
"cf011ff8d8380280133bce806e0f7bb1","8316","Kugu Muminh",2024-07-11
"47a7f2c033801a8185243e6ca8df5fae","8317","Morrobalama",2024-07-11
"3fe230348e9a12c13120749e3f9fa4cd","8318","Thaynakwith",2024-07-11
"d428d070622e0f4363fceae11f4a3576","8321","Yupangathi",2024-07-11
"71969a804c28c0961383008958497b1b","8322","Tjungundji",2024-07-11
"56d33021e640f5d64a611a71b5dc30a3","8399","Cape York Peninsula Languages, nec",2024-07-11
"c055dcc749c2632fd4dd806301f05ba6","8401","Kalaw Kawaw Ya/Kalaw Lagaw Ya",2024-07-11
"a749e38f556d5eb1dc13b9221d1f994f","8402","Meriam Mir",2024-07-11
"8ab9bb97ce35080338be74dc6375e0ed","8403","Yumplatok (Torres Strait Creole)",2024-07-11
"03db60c2331018b18c4166c1787072fe","8504","Bilinarra",2024-07-11
"d958e1f17d03638bba20ad39b2fb989e","8505","Gurindji",2024-07-11
"254a5ecb7ac40cc6c8ff9402f37eb585","8506","Gurindji Kriol",2024-07-11
"172fd0d638b3282151bd8f3d652cb640","8507","Jaru",2024-07-11
"3091d86c09a002e144f4ec506eada3d7","8508","Light Warlpiri",2024-07-11
"3b777b775721dfa8d36de2a320a03e53","8511","Malngin",2024-07-11
"e092aed5316b555a770029849e06a7de","8512","Mudburra",2024-07-11
"39144da5a6180c47885443c83547ec14","8514","Ngardi",2024-07-11
"c39e1a03859f9ee215bc49131d0caf33","8515","Ngarinyman",2024-07-11
"6a12d7ebc27cae44623468302c47ad74","8516","Walmajarri",2024-07-11
"c0cccc24dd23ded67404f5e511c342b0","8517","Wanyjirra",2024-07-11
"16437d40c29a1a7b1e78143c9c38f289","8518","Warlmanpa",2024-07-11
"d0f88bfbf93f5078ff06490082883764","8521","Warlpiri",2024-07-11
"a292685556cdeb779dbc336e83dfb3cb","8522","Warumungu",2024-07-11
"73741ea570def1d114a9ac9bb6726916","8599","Northern Desert Fringe Area Languages, nec",2024-07-11
"a1bcb47486d5abaeabf8fc1d64abe62b","8603","Alyawarr",2024-07-11
"3817157c9127b4cdb7a8d690ee72d874","8606","Kaytetye",2024-07-11
"0a118184382a407bba7aef472932273e","8607","Antekerrepenh",2024-07-11
"08b7dc6e8b36bcaac15847827b7951a9","8611","Central Anmatyerr",2024-07-11
"ec79d4bed810ed64267d169b0d37373e","8612","Eastern Anmatyerr",2024-07-11
"b63826f7edd2fc3ad8449add0c04fceb","8619","Anmatyerr, nec",2024-07-11
"64517d8435994992e682b3e4aa0a0661","8621","Eastern Arrernte",2024-07-11
"0c52d419a421fb13bb58357e67b7fb4b","8622","Western Arrarnta",2024-07-11
"5fbb4eb0e7c2cedf731ec7c18e344141","8629","Arrernte, nec",2024-07-11
"374939012129c174e451f0f64be3bfea","8699","Arandic, nec",2024-07-11
"212ab20dbdf4191cbcdcf015511783f4","8703","Antikarinya",2024-07-11
"b87039703fe79778e9f140b78621d7fb","8704","Kartujarra",2024-07-11
"9fa04f87c9138de23e92582b4ce549ec","8705","Kukatha",2024-07-11
"6f8805c87ad80ed936bcd5ce4bebe65d","8706","Kukatja",2024-07-11
"81baadacf39a11c56ee30acd5455fced","8707","Luritja",2024-07-11
"f7426bc1998891cd172a10233b83a8de","8708","Manyjilyjarra",2024-07-11
"fd9e2ae32b53addc06c63208be3aaa43","8711","Martu Wangka",2024-07-11
"5c341d10c5596a0fd920fda9f33bcb06","8712","Ngaanyatjarra",2024-07-11
"ff84a9f3c0d335d25413dd8dfc9b2e8f","8713","Pintupi",2024-07-11
"6dcb94fb55921f2416219b454651bffc","8714","Pitjantjatjara",2024-07-11
"60bb8062ea8e0c7ff17bb2e484cd223a","8715","Wangkajunga",2024-07-11
"ddc96fb7d590861ce4bbc4579f5fa848","8716","Wangkatha",2024-07-11
"9fb2c3bda2393ae337242f405c93a010","8717","Warnman",2024-07-11
"e7a561a2f218bf9cc0e697598320ec59","8718","Yankunytjatjara",2024-07-11
"032abcd424b4312e7087f434ef1c0094","8721","Yulparija",2024-07-11
"da40657c9fece7e48d30af42d31d4350","8722","Tjupany",2024-07-11
"e6051b3bfe716cc4a38c2f39ec199873","8799","Western Desert Languages, nec",2024-07-11
"97ea3cfb64eeaa1edba65501d0bb3c86","8801","Bardi",2024-07-11
"4c92d46d3b1aad8a64eb35d7312d067c","8802","Bunuba",2024-07-11
"749b3dec12dee44c9594af615a9de86b","8803","Gooniyandi",2024-07-11
"a36adbc35e69b22acbf9f834a0deb286","8804","Miriwoong",2024-07-11
"070c425fd005e11aec1a90706dda66f5","8805","Ngarinyin",2024-07-11
"3f00f874e9837b0ec850a34c85432d66","8806","Nyikina",2024-07-11
"c8d3a760ebab631565f8509d84b3b3f1","8807","Worla",2024-07-11
"df1a336b7e0b0cb186de6e66800c43a9","8808","Worrorra",2024-07-11
"3f9e3767ef3b10a0de4c256d7ef9805d","8811","Wunambal",2024-07-11
"ba3c95c2962d3aab2f6e667932daa3c5","8812","Yawuru",2024-07-11
"f90bebdc692f68ebf8f1dee68a01a8e0","8813","Gambera",2024-07-11
"1511919f603e917ae2f763b63c5c15b6","8814","Jawi",2024-07-11
"71f538c5db462f9bf1c7a8521c622c41","8815","Kija",2024-07-11
"75ac2c91d93efba8651671f18ec013d0","8899","Kimberley Area Languages, nec",2024-07-11
"f4d87ed3b0dbf9c79746d00cedbb5e78","8901","Adnymathanha",2024-07-11
"c56030557e55275663bd45b48cd0223e","8902","Arabana",2024-07-11
"93ac0c50dd620dc7b88e5fe05c70e15b","8903","Bandjalang",2024-07-11
"d98d76e2b5ba72023414d98e75403e79","8904","Banyjima",2024-07-11
"7bcbf838aad2d6d4f975380ee45ef8d8","8905","Batjala",2024-07-11
"41d6c2482cdf34113f998e9df192e148","8906","Bidjara",2024-07-11
"bac4cbb6173335e862a1b3df635ee3ba","8907","Dhanggatti",2024-07-11
"161fd33f67dbfd29138ce3f165d5e5dd","8908","Diyari",2024-07-11
"fed537780f3f29cc5d5f313bbda423c4","8911","Gamilaraay",2024-07-11
"a2487e8950121487ee653a97ba29d020","8913","Garuwali",2024-07-11
"6a7dc0811b68d34739654a26ebdb707f","8914","Githabul",2024-07-11
"a422e60213322845b85ae122de53269f","8915","Gumbaynggir",2024-07-11
"c688defd45ad6638febd469adb09ddf7","8916","Kanai",2024-07-11
"6c351da15b5e8a743a21ee96a86e25df","8917","Karajarri",2024-07-11
"bb469043f774854635c4d72798291e9f","8918","Kariyarra",2024-07-11
"6101903146e4bbf4999c449d78441606","8921","Kaurna",2024-07-11
"5a751d6a0b6ef05cfe51b86e5d1458e6","8922","Kayardild",2024-07-11
"fdb2c3bab9d0701c4a050a4d8d782c7f","8924","Kriol",2024-07-11
"ac597b7eca2b4a550ad15962eeeee42a","8925","Lardil",2024-07-11
"82b04cd5aa016d979fe048f3ddf0e8d3","8926","Mangala",2024-07-11
"e033fdb11f1faad86c9a492d4696ec31","8927","Muruwari",2024-07-11
"3df80af53dce8435cf9ad6c3e7a403fd","8928","Narungga",2024-07-11
"32b8923dc22023d09a67564a1d45d210","8931","Ngarluma",2024-07-11
"864465fb32ecad6a59c4050b91ee99fc","8932","Ngarrindjeri",2024-07-11
"90918ccd19a67747cadd8dbf8368c742","8933","Nyamal",2024-07-11
"56e2cacee3013d65899f9d0522a893f8","8934","Nyangumarta",2024-07-11
"313e98866f7643ecdbf07e2ba4cfc55b","8935","Nyungar",2024-07-11
"0a73de68f10e15626eb98701ecf03adb","8936","Paakantyi",2024-07-11
"3f2dff7862a70f97a59a1fa02c3ec110","8937","Palyku/Nyiyaparli",2024-07-11
"07fc15c9d169ee48573edd749d25945d","8938","Wajarri",2024-07-11
"09ab23b6b607496f095feed7aaa1259b","8941","Wiradjuri",2024-07-11
"80c60e6ccca996995b273e51b04d6b9c","8943","Yindjibarndi",2024-07-11
"c97e7a5153badb6576d8939469f58336","8944","Yinhawangka",2024-07-11
"48e59000d7dfcf6c1d96ce4a603ed738","8945","Yorta Yorta",2024-07-11
"bfc89c3ee67d881255f8b097c4ed2d67","8946","Baanbay",2024-07-11
"d0f82e1046ccbd597c7f2a7bfba9e7dd","8947","Badimaya",2024-07-11
"9c58da3f0418ebdb53c02615f9ab7282","8948","Barababaraba",2024-07-11
"1ae5168b14a6091d623291902ac36e7c","8951","Dadi Dadi",2024-07-11
