"TYP","MEA","BEVT","SUB","FREQUENCY","UNIT_MULT","obsTime","obsValue","process_id","load_datetime"
"2","1","2","10","A","3","1992",325999,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1993",321870,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1994",330424,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1995",329929,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1996",332191,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1997",349674,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1998",367494,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","1999",375480,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2000",391952,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2001",400713,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2002",404009,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2003",423035,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2004",439659,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2005",455906,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2006",463151,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2007",493478,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2008",495616,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
"2","1","2","10","A","3","2009",515780,"4c5ef369-dbd0-4f7e-a998-56c232d7b6d9",2024-07-03 15:00:53.969988
