Cultural_Ethnic_Group_Key,Group_Code,Cultural_Ethnic_Group,Cultural_Ethnic_Group_Date
e78a6fc14ad64f7a78386b20568ce95b,3312,Ukrainian,2024-07-11
41f6ce2c9e78d3f3f605118ebe4999fb,3313,Sorb/Wend,2024-07-11
fb3fbecd686e76bdb3134ac8d976f3a0,3399,"Eastern European, nec",2024-07-11
45c0842e3235c3575ebf65dec63f4d2e,4101,Algerian,2024-07-11
8713caa870753792d3f1968b1ebb949b,4102,Egyptian,2024-07-11
b694d1958dc229d7a770489470000674,4103,Iraqi,2024-07-11
dc81694a94279ed5659c922dbed17cc6,4104,Jordanian,2024-07-11
e76a8c92ef14c06e5c951acb5423344f,4105,Kuwaiti,2024-07-11
e7264cc4286dc041a753dafdb535cf0a,4106,Lebanese,2024-07-11
26c94eaef584d8d9a9318e95d1f83021,4107,Libyan,2024-07-11
289f75206a4c28b29f794f379ca0fbb4,4108,Moroccan,2024-07-11
82966b5c41af3045de6cc9a02c06c905,4111,Palestinian,2024-07-11
82e8197b7eea1b947df1ce65078186de,4112,Saudi Arabian,2024-07-11
59a39c057102a7ed878ee43e7d9e0f6e,4113,Syrian,2024-07-11
c5d1fe9e6360e6ae760e3d506171eb70,4114,Tunisian,2024-07-11
3001a103cce5bfe5f0a0a9f6f7b894f1,4115,Yemeni,2024-07-11
f9324e6c54fba3cad3b012ab29d28c23,4116,Bahraini,2024-07-11
b09a7f0ecbd1176cea89eada8648e8bd,4117,Emirati,2024-07-11
b616e011b7dea36b14e1b606fb2ab0ce,4118,Omani,2024-07-11
0a0d9a4a219760ab1e34dfc48ff29a26,4121,Qatari,2024-07-11
cb2c5b27b7bc5bd7f94b7fd9400e85e7,4199,"Arab, nec",2024-07-11
455c8014dce885cbc5697e47c6660929,4201,Jewish,2024-07-11
0a26395cc43da0729c1b4211ae8cb413,4301,Bari,2024-07-11
01bf99c10e26c393cfec62202233b0ce,4302,Darfur,2024-07-11
1e2dabe023493f20f397a39314123836,4303,Dinka,2024-07-11
afc23fa42292ca794190179505bd47af,4304,Nuer,2024-07-11
ef102c6ef504ef800f47104fef165d5a,4305,South Sudanese,2024-07-11
b821df84609795135721db6d5bf27cc6,4306,Sudanese,2024-07-11
b7e4ab66a22fe160d5ee97503911b1ba,4399,"Peoples of the Sudan, nec",2024-07-11
e2cff529139dd303b617b28953d04249,4902,Berber,2024-07-11
27ac4dc631b79a30d9ed7b081fd8db59,4903,Coptic,2024-07-11
1173373e65b942366aa07b1aa4dbf868,4904,Iranian,2024-07-11
f33ec0f981dd9410e1e0ebc9da2c4b5e,4905,Kurdish,2024-07-11
c1612bbdebfa45467e8ab814e08daff1,4907,Turkish,2024-07-11
2ba8d3f9f0037f04737005afe42b1b2a,4908,Assyrian,2024-07-11
623ee73c7cd447a0b53b27da4ac4fa49,4911,Chaldean,2024-07-11
7ff6ea5989d2df365fbbf93a4b53bbd6,4912,Mandaean,2024-07-11
9f324824eef60cbcf32c5adcff217b9c,4913,Nubian,2024-07-11
2b20fd07fbaf39bec68313b92b93667d,4914,Yezidi,2024-07-11
c06b0c5948fc1eb9d697d903061abf7d,4999,"Other North African and Middle Eastern, nec",2024-07-11
2fd3e7863e63a115a70cf7c6e5b3a601,5101,Anglo-Burmese,2024-07-11
c98e06a00f05511df3d6f2cfd610cb70,5102,Burmese,2024-07-11
93e45b4992a84829fce5681feeb81782,5103,Hmong,2024-07-11
a8ec55b922cd8a1aa9960714c0c2cb0d,5104,Khmer (Cambodian),2024-07-11
d8fd56d3ba0672de0f6625bfb1b4ca7b,5105,Lao,2024-07-11
43ddc789bcea4177a14791f6c9a03b28,5106,Thai,2024-07-11
7b80fae85640c16cdb0261bef0c27636,5107,Vietnamese,2024-07-11
7e014d9f08b5ea887eae96e5871d4b6b,5108,Karen,2024-07-11
fd29458ae58ac32a2d8734ed90ad51ec,5111,Mon,2024-07-11
24e1ca352b0414e16d04bda5f934a15e,5112,Chin,2024-07-11
0d325d2dc6970b353db8e3d33c922cc3,5113,Rohingya,2024-07-11
42298ef204add8218ccef9ce82bf4c20,5199,"Mainland South-East Asian, nec",2024-07-11
473a1337a08505cff4da2b79e2145015,5201,Filipino,2024-07-11
cc1c9b57607b4439578b68074a5e2d80,5202,Indonesian,2024-07-11
7d94af6dccead2736bd1d456ba3c750a,5203,Javanese,2024-07-11
2d97be3d9266141fe87908a0e213c09f,5204,Madurese,2024-07-11
fc179207920005b7dca85323ceacf5eb,5205,Malay,2024-07-11
3f43ba0705bf771ea5d74a7a2e8b40c0,5206,Sundanese,2024-07-11
8beb89abaf85092ce85798243f3106ec,5207,Timorese,2024-07-11
30fb94987344d7787590b2c2b0f08d23,5208,Acehnese,2024-07-11
519be31bfaca695c27914591a6c620d1,5211,Balinese,2024-07-11
ce40c67c88df4eee139a19ad762f18b0,5212,Bruneian,2024-07-11
c62564eb2e309585c5574fe2ca525495,5213,Kadazan,2024-07-11
be611774a1399f891a4dd3f78dc9fd46,5214,Singaporean,2024-07-11
aa9f0030b5b4c71fabb8b4867f52e9a2,5215,Temoq,2024-07-11
df8b8bf9e973ea0eb2b6911b00841b6f,5299,"Maritime South-East Asian, nec",2024-07-11
3b261136e3c33f35e0a58611b1f344cb,6101,Chinese,2024-07-11
e103ad15fc341317a37500fe72d97cac,6102,Taiwanese,2024-07-11
e81bc836acab54cb363a9e11ad1c4b0d,6199,"Chinese Asian, nec",2024-07-11
f32ced6a9ba164c4b3c047fd1d7c882e,6901,Japanese,2024-07-11
d0bdb3cde477d82e766da05ebda50ccb,6902,Korean,2024-07-11
28c84f05dbc521ffa52220ce03b16356,6903,Mongolian,2024-07-11
a441f933e0026f55ccff38b534f98a53,6904,Tibetan,2024-07-11
753e37dde5a9942f372697e23c24d1a2,6999,"Other North-East Asian, nec",2024-07-11
3dd1374a1a287020f2916921b03b8b4b,7101,Anglo-Indian,2024-07-11
a56dcb8443c25f8e14b47b8ff1748331,7102,Bengali,2024-07-11
a0af501af351dfdde4bf00b02005ab77,7103,Burgher,2024-07-11
d1a59333c7e56205fed9bda9da34b201,7104,Gujarati,2024-07-11
b5f6e3ec74afdaf0ada5500babfa8d52,7106,Indian,2024-07-11
d172c84da2f3c82457b5e50eb6d43287,7107,Malayali,2024-07-11
d7d88a4d93f0cd21cb90b156ec0da1ea,7111,Nepalese,2024-07-11
79f3772ef1c0aff6889116c744f63006,7112,Pakistani,2024-07-11
bbc0294ce6177b932fad9c75af2b8563,7113,Punjabi,2024-07-11
c64e8485283829271ee5aa1adcee4a3a,7114,Sikh,2024-07-11
d8be732622a4932cc914e5da766f0fb0,7115,Sinhalese,2024-07-11
51f8d265524f3db841024a7cc96dfe19,7117,Maldivian,2024-07-11
638efd0c0d3980e2121a2888e6529ded,7118,Bangladeshi,2024-07-11
4dcc2e8046861efdcf401296f2d5d97e,7121,Bhutanese,2024-07-11
e786fa8ac02011abb976c15a16a9c3dc,7122,Fijian Indian,2024-07-11
2fc10ff987c277fc4fd5f440dd8263ab,7123,Kashmiri,2024-07-11
f0d60ea8ea656298b8aca31d550366ff,7124,Parsi,2024-07-11
ff36f09ce3d926b3772948a4f72144dd,7125,Sindhi,2024-07-11
7a7019a426793e25a43c6c03b9434e71,7126,Sri Lankan,2024-07-11
cc3d3846b702801df2ba9fef145951e7,7127,Sri Lankan Tamil,2024-07-11
e74c35e28a4cd481dd3315500afc8ef0,7128,Indian Tamil,2024-07-11
5dc8500489adb30c86b8ce29a3bb59ef,7131,"Tamil, nfd",2024-07-11
15b88a88e6cf16a4462c1562fdcb0c19,7132,Telugu,2024-07-11
00fe87901cea9ce14e65b861eb53f7b6,7199,"Southern Asian, nec",2024-07-11
07d8b3b25942f73a1afcc909524ce486,7201,Afghan,2024-07-11
b397edd35777a9f6036119e6ced96ff6,7202,Armenian,2024-07-11
adc0753d37641ed117f7b999a0ae79a0,7203,Georgian,2024-07-11
d05ae627fcc808e7df1ee341c3d5cbc2,7204,Kazakh,2024-07-11
de4f19c90e7fb62c2f610e860f18ed81,7205,Pathan,2024-07-11
ca20f547f2f65dbf6d23b0395419dd43,7206,Uzbek,2024-07-11
8ccab4760f1806717db2fbbaf2e99300,7207,Azeri,2024-07-11
5f8a0df36a33f88b9bd67b4a3aefab97,7208,Hazara,2024-07-11
944c84bfafb071ea7f357c4f23cddf53,7211,Tajik,2024-07-11
4c86bbde578e3648fa0b12aea66fc5f6,7212,Tatar,2024-07-11
6f1211929eb30a88188af058eb7dbcfb,7213,Turkmen,2024-07-11
f8131f43da1441653f7ecb1fd144eb6a,7214,Uighur,2024-07-11
712a3d4ac894f0e98dd8febc5e17ab97,7215,Kyrgyz,2024-07-11
f27662775f7c6b90c4a268d508f62737,7299,"Central Asian, nec",2024-07-11
43c5681edcb954ce3e4c669ddd45c35f,8101,African American,2024-07-11
c6c6f067a3ead9ce67a1c67a790fa26b,8102,American,2024-07-11
46e7f4dd342175e7eb21492f361d90c2,8103,Canadian,2024-07-11
b409e6e30a6c30411e5e3c21b57e2d0c,8104,French Canadian,2024-07-11
e90dc4ed5c3293fa3635f8f0ee5ec4f2,8105,Hispanic North American,2024-07-11
f68f571b23b379b8ea9f5a8f1a0274db,8106,Native North American Indian,2024-07-11
ac0d07b869617aeeba1a4f1e8321bc2d,8107,Bermudan,2024-07-11
40730c76474d5994060c088c3d59f57c,8199,"North American, nec",2024-07-11
6eed6aacfe6bf750e36de177715b14dd,8201,Argentinian,2024-07-11
