Religious_Group_Key,Group_Code,Religious_Group,Religious_Group_Date
65347fb1366d08c03ad3165b5c3db47f,253123,Wesleyan Methodist Church,2024-07-09
75b87964aa3b8497bb2f4663ef1fbb1f,253199,"Other Protestant, nec",2024-07-09
07203c0e0968c09782f9787342384f19,253211,Apostolic Church of Queensland,2024-07-09
a324f4fbf47eb9059df29c5b67306f1f,253212,Christadelphians,2024-07-09
7623d8a809dde804060d7740c3899911,253213,Christian Science,2024-07-09
dbd09c423c664fecb8a49f7b07452ac9,253214,Gnostic Christians,2024-07-09
600793418665aae4ae4d47a5786b22e8,253215,Grace Communion International (Worldwide Church of God),2024-07-09
712ea9a15dd2deada0854a729cb46ebc,253216,Liberal Catholic Church,2024-07-09
ba9e56f63d8e8fe45dd66abdca1593cb,253217,New Apostolic Church,2024-07-09
30fcb57a0a5e3f353fd86decd94aa818,253218,New Churches (Swedenborgian),2024-07-09
55e904c2d8dc2d1a7132d3b0a255f1ad,253221,Ratana (Māori),2024-07-09
76f7a923e7a36b592372fae59c87fbab,253222,Religious Science,2024-07-09
fb51683f3ab0b0c1cee32d4d849abe92,253223,Religious Society of Friends (Quakers),2024-07-09
9004ea4d9acb82162dbb47132f14cf23,253224,Temple Society,2024-07-09
154ebf059e2a00747e88c6d928dba288,253299,"Other Christian, nec",2024-07-09
fb859c371c53cf59efbc0bf6a6373a36,351111,Hinduism,2024-07-09
d3f0933c01e35012c5b2d105dd61a1c8,451111,Shia,2024-07-09
1ac78dc3069b378786956b3bcdf32036,451211,Sunni,2024-07-09
2c997578a19774ba6d504089fd1438cb,451311,Ahmadiyya,2024-07-09
7b821914a4b5c917a98f5395d1d12796,451312,Alawi,2024-07-09
a79e705ba5833344267ea18a9c6e1694,451313,Alevi,2024-07-09
74105b6aa4b688973b34bf222b310ea0,451399,"Islam, nec",2024-07-09
f6f61e39037a16f05c97f7c4b4d39cfd,551111,Judaism,2024-07-09
5fec3a8b2a5eb02944fc10d1364562f7,651111,Sikhism,2024-07-09
983a66bc9b0a5e23278be9c6dd992ed7,851111,Australian Aboriginal Traditional Religions,2024-07-09
7b11162af9c889745119c133702fb980,851211,Baha'i,2024-07-09
3c77c282a55644184542fe30bcceca91,851311,Ancestor Veneration,2024-07-09
6a3934024076f0de81b00f429f79dbcd,851312,Confucianism,2024-07-09
31ae79742dc1db7d5e842a8173b85f4b,851313,Taoism,2024-07-09
42cdde616e4a98394411d63357aa224c,851399,"Chinese Religions, nec",2024-07-09
f14d28a58916cb55ff8a510086af4e31,851411,Druse,2024-07-09
e2b288b16aa4090926636f1eb2a8e445,851511,Shinto,2024-07-09
45607800f852fcca42fec8679a6cbffd,851512,Sukyo Mahikari,2024-07-09
0d3b9ca46fce42f3afdb5d494d50e08d,851513,Tenrikyo,2024-07-09
1f8c31ebc72749d3c312c3cb5f655cb7,851599,"Japanese Religions, nec",2024-07-09
d8ea08d7b2087cd2f5e060a818c845e3,851611,Animism,2024-07-09
ee60015743e7436d14783b1689073b42,851612,Druidism,2024-07-09
d219fa755c919d2509947d30b2af1ee5,851613,Paganism,2024-07-09
d73f889971c423a5b3a8f2c1b4424cf0,851614,Wiccan (Witchcraft),2024-07-09
fe1199d763cc973c9190e0fc15a505de,851699,"Nature Religions, nec",2024-07-09
fc5362766297b67c5ca8d12960891b75,851711,Spiritualism,2024-07-09
677625d7b6e88f0e92240c7e09074a72,851811,Caodaism,2024-07-09
8fdf9fee4a80c07b296b48394058dc30,851812,Church of Scientology,2024-07-09
272ffaaaf4082dc331913efb8c91668a,851813,Eckankar,2024-07-09
d4dfa3d4dac5d183ae84a84605cd8e34,851814,Jainism,2024-07-09
ad213e8c2da28f6d1c5e60d96353cbb1,851815,Kirat Mundham,2024-07-09
7ff6ea5989d2df365fbbf93a4b53bbd6,851816,Mandaean,2024-07-09
41c3d7dded790a674973e4edbf7fabfb,851817,Rastafari,2024-07-09
6b9e3bd7c884997f7b09c0e7d5df97f5,851818,Satanism,2024-07-09
f24cf9204bd9a4eaf5e79d3d1c09c12f,851821,Theosophy,2024-07-09
2b20fd07fbaf39bec68313b92b93667d,851822,Yezidi,2024-07-09
d2bae0afda3b63ed93bf34e54cf2fc56,851823,Zoroastrianism,2024-07-09
330adad2a93dca686e8a412fd14a9406,851899,"Religious Groups, nec",2024-07-09
0f1edae737adb4b96fd95b42067a3052,951111,"No Religion, so described",2024-07-09
dbbfd8b085169c154ef94312b4ecd72d,951211,Agnosticism,2024-07-09
de0f154c7b3efeb18f638a76291aa787,951212,Atheism,2024-07-09
192f9dd5e92a2abf23ccf8e23ad86131,951213,Humanism,2024-07-09
c638073cb92602d447c5dc9e9b771e4f,951214,Rationalism,2024-07-09
144a87b51eb72f84f37de8ae563f3604,951299,"Secular Beliefs, nec",2024-07-09
240e08f22c41095264fa1de7b9ac8e7f,951311,Multi Faith,2024-07-09
810e3592f4479a83deb99e4c24927fc6,951312,New Age,2024-07-09
ae4e1bb22cae948f3468185785fcf455,951313,Own Spiritual Beliefs,2024-07-09
6709aad70cc425efdb4f1eff116c34ff,951314,Theism,2024-07-09
482edd2de83d30c60965c08b187d6cf6,951315,Unitarian Universalism,2024-07-09
19d5d84732b7199189c4a544866d4896,951399,"Other Spiritual Beliefs, nec",2024-07-09
