Broad_Group_Key,Broad_Group,Narrow_Group,Broad_Group_Date
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,BUDDHISM,2024-07-09
8e296a067a37563370ded05f5a3bf3ec,25,CHRISTIANITY,2024-07-09
1c383cd30b7c298ab50293adfecb7b18,35,HINDUISM,2024-07-09
6c8349cc7260ae62e3b1396831a8398f,45,ISLAM,2024-07-09
b53b3a3d6ab90ce0268229151c9bde11,55,JUDAISM,2024-07-09
fc490ca45c00b1249bbe3554a4fdf6fb,65,SIKHISM,2024-07-09
3ef815416f775098fe977004015c6193,85,OTHER RELIGIONS,2024-07-09
812b4ba287f5ee0bc9d43bbf5bbe87fb,95,SECULAR BELIEFS AND OTHER SPIRITUAL BELIEFS AND NO RELIGIOUS AFFILIATION,2024-07-09
