Detailed_Fields_Key,Detailed_Fields,Field_Description,Detailed_Fields_Date
c3ddc652121ed52263209f0e97b3c7b0,100703,Journalism,2024-07-11
17e6c7f351e85c9f93230308992261c9,100705,Written Communication,2024-07-11
b0aff3fb5783809bc8d18db186fb18aa,100707,Verbal Communication,2024-07-11
9321f807a30feeaa0fe17c312d4dd05a,100799,"Communication and Media Studies, n.e.c.",2024-07-11
713246619141f1cad5f76bf60b3524a7,109999,"Creative Arts, n.e.c.",2024-07-11
f824ea3cd7cea49116eda11b5d23f9b0,110101,Hospitality,2024-07-11
3586c5f502326fb5b0de4dac631a4264,110103,Food and Beverage Service,2024-07-11
7b82193d6c342263b39b3df310528e7d,110105,Butchery,2024-07-11
3e5a97535eb995ac37440de576bad189,110107,Baking and Pastrymaking,2024-07-11
d738f1706111463f3be183c20ab5d3dd,110109,Cookery,2024-07-11
5fc325ecd052e3aa47e063d954591ce9,110111,Food Hygiene,2024-07-11
a7be7d1bbbaef5d3f9e15ecdb9fb396a,110199,"Food and Hospitality, n.e.c.",2024-07-11
ec080e840b992bdccf8546d73139add2,110301,Beauty Therapy,2024-07-11
78ad6508f8a917a3310646717fe21d17,110303,Hairdressing,2024-07-11
81a14b188350f0f669f6d2262b8f0a26,110399,"Personal Services, n.e.c.",2024-07-11
1bc92b99fd45cc2e89907ad2770c2746,120101,General Primary and Secondary Education Programmes,2024-07-11
a51b3994cd40ae08fdd0ea9c6aeb5ac0,120103,Literacy and Numeracy Programmes,2024-07-11
10132a1847d88a1c2969d9df9e49a630,120105,Learning Skills Programmes,2024-07-11
b4b8c4f77387af3f66d12a8cb1934ff8,120199,"General Education Programmes, n.e.c.",2024-07-11
e7a5e745eac1b6b904cff9aff773e4b7,120301,Social and Interpersonal Skills Programmes,2024-07-11
98142492b9236b8c1fe2a59f4d080e40,120303,Survival Skills Programmes,2024-07-11
68404a449bcc7f11193b836f48e9179c,120305,Parental Education Programmes,2024-07-11
651b6bae2e682d7e2a54949b77ab94b1,120399,"Social Skills Programmes, n.e.c.",2024-07-11
206f315125926725415fc1e92408f361,120501,Career Development Programmes,2024-07-11
146e6ff879d04651b5a36fbc7347763b,120503,Job Search Skills Programmes,2024-07-11
fc28dd210d52ecb0135730aa1d151b1b,120505,Work Practices Programmes,2024-07-11
ff201acd61d426da2dd3aeb462369e1a,120599,"Employment Skills Programmes, n.e.c.",2024-07-11
e4cb6a6d0efa028bb4558bd1db94e164,129999,"Mixed Field Programmes, n.e.c.",2024-07-11
