Detailed_Fields_Key,Detailed_Fields,Field_Description,Detailed_Fields_Date
799493e4b71b1b4bf451faa4b8dd015b,030707,"Metal Fitting, Turning and Machining",2024-07-11
c87c0e388657e5d797a048c323b2c9b3,030709,Sheetmetal Working,2024-07-11
1927ab95759dd03edc558a55002e2ff1,030711,Boilermaking and Welding,2024-07-11
4361cc3e65b2a461ef4b3fd000369202,030713,Metal Casting and Patternmaking,2024-07-11
2be00497016bfa65a85ab3ee3279f0c8,030715,Precision Metalworking,2024-07-11
0b4f06469e0eeab79f0da69d8153bf55,030717,Plant and Machine Operations,2024-07-11
b39cbc15e13ea01573ef4fb38fd62496,030799,"Mechanical and Industrial Engineering and Technology, n.e.c.",2024-07-11
2c2d85967682e13bd0ac0737e4c23dc5,030901,Construction Engineering,2024-07-11
cca680465b38fb565da4b3166f826187,030903,Structural Engineering,2024-07-11
5d97fba6f9068243fbb43c5cbc867f08,030905,Building Services Engineering,2024-07-11
10bc07d6b9bde73236ea4bca59ab2809,030907,Water and Sanitary Engineering,2024-07-11
6bcf1e56628fcf13addd32c7ac37de1d,030909,Transport Engineering,2024-07-11
74c1a5602fd1748a0bd22d65785138b0,030911,Geotechnical Engineering,2024-07-11
c39cfb4f8d2cea54b97eb55a4e0e0aee,030913,Ocean Engineering,2024-07-11
52824167f437cec292b8796f2dec49dd,030999,"Civil Engineering, n.e.c.",2024-07-11
de1ed807c5a5a45feb73bc1b4025cfaa,031101,Surveying,2024-07-11
54d448935ffed6d2b31a534bc5dc54ad,031103,Mapping Science,2024-07-11
b8dbae5d269ab2e396a49abbaaf9753c,031199,"Geomatic Engineering, n.e.c.",2024-07-11
b35e50c18c1d6a3b0ec7c11bb06d8d6f,031301,Electrical Engineering,2024-07-11
c94687ea4a093889c32ca090a4710271,031303,Electronic Engineering,2024-07-11
b0246268d7682d04342d48898f28e031,031305,Computer Engineering,2024-07-11
46147f1e086f30ed05a338bf4d0ea6b8,031307,Communications Technologies,2024-07-11
309dba1744ce7d466f99c022694de592,031309,Communications Equipment Installation and Maintenance,2024-07-11
eb62420d7c19d428f173348b854de9a3,031311,Powerline Installation and Maintenance,2024-07-11
d4c8c2b88daa3a1d7234710f0257c6ca,031313,"Electrical Fitting, Electrical Mechanics",2024-07-11
6f1b17d0eb8b93fb5a5b757e5eec84f4,031315,Refrigeration and Air Conditioning Mechanics,2024-07-11
2e4ccdc519e414b6865ea39fd3c8eb0a,031317,Electronic Equipment Servicing,2024-07-11
5d89770b8990edfd07bd20bd56bda29c,031399,"Electrical and Electronic Engineering and Technology, n.e.c.",2024-07-11
a724e8e392da65e5565d510dbfbea882,031501,Aerospace Engineering,2024-07-11
3d2db98a6847c4105529ddee376dcfed,031503,Aircraft Maintenance Engineering,2024-07-11
21839a62b05486b76bf6d437fe0dbe3b,031505,Aircraft Operation,2024-07-11
2c90161c88bebd93e3ffeed083979625,031507,Air Traffic Control,2024-07-11
19bb7999d98b4dd47fd43e90ec604485,031599,"Aerospace Engineering and Technology, n.e.c.",2024-07-11
e393fdcf9b55a936bf01c1f7d24cacd0,031701,Maritime Engineering,2024-07-11
1699b1a853bf2a990db1ddc3c48d5ed8,031703,Marine Construction,2024-07-11
e69839d80289b21b4d4bffd498871c84,031705,Marine Craft Operation,2024-07-11
0986f21b1158f8d06148b687328afba3,031799,"Maritime Engineering and Technology, n.e.c.",2024-07-11
f24a1c9ad19debeb779fb450f51effe2,039901,Environmental Engineering,2024-07-11
8909fd91ba51c05441ceda0f2179c47d,039903,Biomedical Engineering,2024-07-11
cd3ee0345e7144555c1f85741b7427ae,039905,Fire Technology,2024-07-11
5d5a54dc4a4923953c6970e9609625f0,039907,Rail Operations,2024-07-11
1b6c2131da38bbdc71df0122a47f381d,039909,Cleaning,2024-07-11
7477ae0358cb51fa11229df90e867a81,039999,"Engineering and Related Technologies, n.e.c.",2024-07-11
ed4ffd089af0cd336d5593c9abecbfa8,040101,Architecture,2024-07-11
be15d0d79304fe752e7931fc3b3a971f,040103,Urban Design and Regional Planning,2024-07-11
af7dbf92703342e09e041133870bb8e4,040105,Landscape Architecture,2024-07-11
9e4f4269491bd2268650b8ab406e17fc,040107,Interior and Environmental Design,2024-07-11
d66766edc65cfad2b1278ea0b5265d8e,040199,"Architecture and Urban Environment, n.e.c.",2024-07-11
f375a38ef248f7d4cea6d9a567741140,040301,Building Science and Technology,2024-07-11
1903f4f03bc1f2cef620517f422c8f58,040303,Building Construction Management,2024-07-11
4a781d387a45938e45ca470cee581749,040305,Building Surveying,2024-07-11
631d63c9b070d6dd4d2e1071f0cb4dc8,040307,Building Construction Economics,2024-07-11
c6608e8b32b7f85b270c95f05fabf9fa,040309,Bricklaying and Stonemasonry,2024-07-11
0cb4f2af121d5348869cac0ac3a8cf40,040311,Carpentry and Joinery,2024-07-11
c34fadbfe7474cc0496349477ef8bb68,040313,"Ceiling, Wall and Floor Fixing",2024-07-11
753a9b0bd8221616150e5ab04dffdee2,040315,Roof Fixing,2024-07-11
8dc83ebce3ebdc8877af7233fbbecebd,040317,Plastering,2024-07-11
4f88d16ca7acf5c7ccb37894533d9b70,040319,Furnishing Installation,2024-07-11
2c54cd484bf3d8c4f65ed967b91b5a20,040321,Floor Coverings,2024-07-11
b89ece360c1e22c0fb42fa6bba9eeecb,040323,Glazing,2024-07-11
52076973af99baec7dfe9d1be9da02fc,040325,"Painting, Decorating and Sign Writing",2024-07-11
7af19cdf6ca2382e4c539211f3e76cf3,040327,Plumbing,2024-07-11
54cee11f6fe78729f90e22e0af3b5aa0,040329,Scaffolding and Rigging,2024-07-11
39a87de02efb6a54c5dbe278908c1adb,040399,"Building, n.e.c.",2024-07-11
28264f30db4db4a14a9f1883d03ad462,050101,Agricultural Science,2024-07-11
2b41ca70aaea4c9e29f573fd22655d11,050103,Wool Science,2024-07-11
2c97e4f90c6a926f9b4f4b95ba0e0be1,050105,Animal Husbandry,2024-07-11
e737dc75b7695ae92bf77412e3c607fe,050199,"Agriculture, n.e.c.",2024-07-11
35c7b9b6578943f2164bef3eb331acf9,050301,Horticulture,2024-07-11
5741c62dd0b679b42de6bdb5219cfb63,050303,Viticulture,2024-07-11
e1f4afc69cad052d5518abb27295113d,050501,Forestry Studies,2024-07-11
afa88203b19d15808f84602a50da4b32,050701,Aquaculture,2024-07-11
795ed999c1f735bd0ae240ef125b8efe,050799,"Fisheries Studies, n.e.c.",2024-07-11
bbcb084f09c7245ed124c8e6983e140b,050901,"Land, Parks and Wildlife Management",2024-07-11
2ce92060b6d6fbbec7873ad44405e9f8,050999,"Environmental Studies, n.e.c.",2024-07-11
257506ccaae42b2dcb48217babf017d1,059901,Pest and Weed Control,2024-07-11
5b4d8c3fd331b57463c2e6d8613ecbe2,059999,"Agriculture, Environmental and Related Studies, n.e.c.",2024-07-11
a68001dca531fb348a84767f75f1856c,060101,General Medicine,2024-07-11
bd532170fe45fd6b245cb2c1de63ed48,060103,Surgery,2024-07-11
9ce731cb32f86fc203792a669fc4fdee,060105,Psychiatry,2024-07-11
2258d2348978560419da611dc6fd4228,060107,Obstetrics and Gynaecology,2024-07-11
3bc4fa5f2665f9c528e64a56299ae23a,060109,Paediatrics,2024-07-11
3c5ad34ceee7513c9fd1cac99a358921,060111,Anaesthesiology,2024-07-11
484bfbe418eba4336820c87bee3210ae,060113,Pathology,2024-07-11
49e8de86dbb63caa3b20d7c3ec98c626,060115,Radiology,2024-07-11
c095c15740c5308f7a8aa45c4e58de82,060117,Internal Medicine,2024-07-11
63f6c647042d5d57c3a4cbb385e42886,060119,General Practice,2024-07-11
0c7a9c1159e9a7d0b1337e989e035152,060199,"Medical Studies, n.e.c.",2024-07-11
b60fbdd2a1c66ca27b3258829d024bfc,060301,General Nursing,2024-07-11
ca366f0c6c7124c4220305ddffce4921,060303,Midwifery,2024-07-11
1cdb4804d5cb86752b9d55ca737fd921,060305,Mental Health Nursing,2024-07-11
0a3ac4b8da10a9a74ef97ab84ce11193,060307,Community Nursing,2024-07-11
8624df2962cbe187a2ba848cacd33bf6,060309,Critical Care Nursing,2024-07-11
f1907e9cc3cf09b40e876481dbb3f96b,060311,Aged Care Nursing,2024-07-11
aa048b7d820c351c7be683bfe08cab39,060313,Palliative Care Nursing,2024-07-11
