SOSR_Key,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,SOSR_Date
3871bd64012152bfb53fdf04b401193f,622,200 to 499,62,Bounded Locality,2024-07-10
851ddf5058cf22df63d3344ad89919cf,614,"5,000 to 9,999",61,Other Urban,2024-07-10
58d4d1e7b1e97b258c9ed0b37e02d087,615,"1,000 to 4,999",61,Other Urban,2024-07-10
8ebda540cbcc4d7336496819a46a1b68,611,"50,000 to 99,999",61,Other Urban,2024-07-10
f29c21d4897f78948b91f03172341b7b,613,"10,000 to 19,999",61,Other Urban,2024-07-10
f76a89f0cb91bc419542ce9fa43902dc,612,"20,000 to 49,999",61,Other Urban,2024-07-10
ca9c267dad0305d1a6308d2a0cf1c39c,679,Migratory - Offshore - Shipping (Tas.),67,Migratory - Offshore - Shipping (Tas.),2024-07-10
afd4836712c5e77550897e25711e1d96,699,No usual address (Tas.),69,No usual address (Tas.),2024-07-10
d6c651ddcd97183b2e40bc464231c962,703,"100,000 to 249,999",70,Major Urban,2024-07-10
59c33016884a62116be975a9bb8257e3,731,Remainder of State/Territory,73,Rural Balance,2024-07-10
aba3b6fd5d186d28e06ff97135cade7f,721,500 or more,72,Bounded Locality,2024-07-10
19bc916108fc6938f52cb96f7e087941,712,"20,000 to 49,999",71,Other Urban,2024-07-10
c8ed21db4f678f3b13b9d5ee16489088,722,200 to 499,72,Bounded Locality,2024-07-10
8df707a948fac1b4a0f97aa554886ec8,715,"1,000 to 4,999",71,Other Urban,2024-07-10
d14220ee66aeec73c49038385428ec4c,714,"5,000 to 9,999",71,Other Urban,2024-07-10
67d96d458abdef21792e6d8e590244e7,779,Migratory - Offshore - Shipping (NT),77,Migratory - Offshore - Shipping (NT),2024-07-10
28267ab848bcf807b2ed53c3a8f8fc8a,799,No usual address (NT),79,No usual address (NT),2024-07-10
1141938ba2c2b13f5505d7c424ebae5f,802,"250,000 to 999,999",80,Major Urban,2024-07-10
e0ec453e28e061cc58ac43f91dc2f3f0,831,Remainder of State/Territory,83,Rural Balance,2024-07-10
afda332245e2af431fb7b672a68b659d,822,200 to 499,82,Bounded Locality,2024-07-10
d516b13671a4179d9b7b458a6ebdeb92,879,Migratory - Offshore - Shipping (ACT),87,Migratory - Offshore - Shipping (ACT),2024-07-10
01882513d5fa7c329e940dda99b12147,899,No usual address (ACT),89,No usual address (ACT),2024-07-10
9f53d83ec0691550f7d2507d57f4f5a2,931,Remainder of State/Territory,93,Rural Balance,2024-07-10
24896ee4c6526356cc127852413ea3b4,915,"1,000 to 4,999",91,Other Urban,2024-07-10
ccc0aa1b81bf81e16c676ddb977c5881,922,200 to 499,92,Bounded Locality,2024-07-10
430c3626b879b4005d41b8a46172e0c0,921,500 or more,92,Bounded Locality,2024-07-10
c32d9bf27a3da7ec8163957080c8628e,979,Migratory - Offshore - Shipping (OT),97,Migratory - Offshore - Shipping (OT),2024-07-10
b706835de79a2b4e80506f582af3676a,999,No usual address (OT),99,No usual address (OT),2024-07-10
