key,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
a036718538bef589e491d3f0c034f082,11903,Hurstville,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales
1aa4de654d4e502b4ef4136466b13fcc,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales
e92b755eb0d8800175a02a35c2bf44fe,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales
071f8a36715a8a6b7f7ded54074cc8c6,10401,Clarence Valley,104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales
b32d54edfbef54504db682d7d6d5be8d,11303,Wagga Wagga,113,Riverina,1RNSW,Rest of NSW,1,New South Wales
696b0709b9a2d7d9e2c25b71476ec255,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales
f9e817650f505b7c38f29416dfd0ba69,12702,Fairfield,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales
30777b47a2424ff255c03b17a3d0fca7,11002,Inverell - Tenterfield,110,New England and North West,1RNSW,Rest of NSW,1,New South Wales
48d23e87eb98cc2227b5a8c33fa00680,10805,Taree - Gloucester,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales
7fd3b80fb1884e2927df46a7139bb8bf,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales
4c0a7bdd46ceb88d497eec5de360328e,10105,Goulburn - Mulwaree,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales
a3ce63a7a8521c37a513db67129855a8,10801,Great Lakes,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales
793d8e745d2b346c4ddc27a534083243,11302,Tumut - Tumbarumba,113,Riverina,1RNSW,Rest of NSW,1,New South Wales
a9dd7e3c6ee87a48cb35b729caf61eb5,10603,Port Stephens,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales
33abffcedac43a654ac7f501856bf700,11004,Tamworth - Gunnedah,110,New England and North West,1RNSW,Rest of NSW,1,New South Wales
2da6a99a5ce7553b10fb03803d4994a9,11003,Moree - Narrabri,110,New England and North West,1RNSW,Rest of NSW,1,New South Wales
b56baf5ddf91123f42fa39ebb461e126,12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales
47af10edfc4c96329531345635a4baa9,12601,Pennant Hills - Epping,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales
fd8979ada2fd5bab05e9c5f035a5c4c7,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales
8780a72513a774d87bae314cb01856ba,11904,Kogarah - Rockdale,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales
501e3f8a108d7ab9335ceecd363d113d,10703,Kiama - Shellharbour,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales
c11abfd29e4d9b4d4b566b01114d8486,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales
49c2694acd8a7b592f993d5ab39f932e,11402,Southern Highlands,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales
