SA2_SUA_Key,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,SA2_SUA_Date
01ebd56fc6a1a33f088b90ba0388161c,115011294,11294,Glenhaven,1030,Sydney,2024-07-10
5013e3a8ae06dbc9772862ebd387cad9,115011296,11296,West Pennant Hills,1030,Sydney,2024-07-10
33eb91cd374c4f5cf696a0ba8264725c,115011553,11553,Castle Hill - Central,1030,Sydney,2024-07-10
415f5d7e2f28f6944d63ce60c2524816,115011554,11554,Castle Hill - East,1030,Sydney,2024-07-10
3bf2ed00af0a6edbf543e14c76dc209f,115011555,11555,Castle Hill - North,1030,Sydney,2024-07-10
c250c59fe2dae97791ba56b3801dc31b,115011556,11556,Castle Hill - South,1030,Sydney,2024-07-10
9f3ae8b566f760d50d537b316b5ae8bf,115011557,11557,Castle Hill - West,1030,Sydney,2024-07-10
b4caee63ec71106e220a623902538abb,115011558,11558,Cherrybrook,1030,Sydney,2024-07-10
e02bc879d31956a2d1ca1dd4db8da510,115011559,11559,Kellyville,1030,Sydney,2024-07-10
2a1ce90114461df3512d5d7724a204aa,115021297,11297,Dural - Kenthurst - Wisemans Ferry,1030,Sydney,2024-07-10
4ce455ed5f384011518b0ef2b3e895e4,115021298,11298,Galston - Laughtondale,1030,Sydney,2024-07-10
4aab8720a7115de5d8e422fa1496df7f,115031299,11299,Bilpin - Colo - St Albans,1000,Not in any Significant Urban Area (NSW),2024-07-10
ea42d9f4bf6af082c315352ff9d2ade1,115031300,11300,Kurrajong Heights - Ebenezer,1030,Sydney,2024-07-10
d307e1b2943055e592c4ce3780bf5de9,115041301,11301,Pitt Town - McGraths Hill,1030,Sydney,2024-07-10
77a083788851a7475ee85411e8b1dcd0,115041302,11302,Rouse Hill - Beaumont Hills,1030,Sydney,2024-07-10
ab5aa11ac6409f38f8e7c6f24ff5e252,116011303,11303,Blacktown (East) - Kings Park,1030,Sydney,2024-07-10
97f7f6327758a25158bbc0a91201a1be,116011304,11304,Blacktown (North) - Marayong,1030,Sydney,2024-07-10
908ac6888d2ca5217e7f2a16ee077ed5,116011306,11306,Doonside - Woodcroft,1030,Sydney,2024-07-10
573ae6ea93895e8b18108775635f0d54,116011307,11307,Lalor Park - Kings Langley,1030,Sydney,2024-07-10
254252d0cb1d27c248c12723f31a5658,116011308,11308,Seven Hills - Toongabbie,1030,Sydney,2024-07-10
e2e8776f9bbcf10dba8c5413e0c2b1fa,116011560,11560,Blacktown (South),1030,Sydney,2024-07-10
6993d1e4a5129f1142595ff9e37aef1c,116011561,11561,Blacktown (West),1030,Sydney,2024-07-10
b3876a61a705db8a05a41dbeef38504a,116021309,11309,Glenwood,1030,Sydney,2024-07-10
2574145951cedbe3a5c52a52015bf661,116021310,11310,Parklea - Kellyville Ridge,1030,Sydney,2024-07-10
95f916dac91f02c403d51869f58267af,116021312,11312,Riverstone - Marsden Park,1030,Sydney,2024-07-10
eeca083e14d5335ad3a61f9447df9f64,116021562,11562,Acacia Gardens,1030,Sydney,2024-07-10
d42d59cbfd4e6d31f0a1e067f925f45d,116021563,11563,Quakers Hill,1030,Sydney,2024-07-10
11aff79a650c957128667392062ed6ae,116031313,11313,Bidwill - Hebersham - Emerton,1030,Sydney,2024-07-10
7457d36162bb20e222bc1f7e9fd85f3c,116031314,11314,Glendenning - Dean Park,1030,Sydney,2024-07-10
a2a4694830fe558fde5e5ff1937f6911,116031315,11315,Hassall Grove - Plumpton,1030,Sydney,2024-07-10
3a82998d59fbea1c1d796de42a269ae3,116031316,11316,Lethbridge Park - Tregear,1030,Sydney,2024-07-10
390ef93e4e72a3fbf1e9a1f8e8d5ae03,116031317,11317,Mount Druitt - Whalan,1030,Sydney,2024-07-10
06931fcafec0a634098f476c876f28fb,116031318,11318,Prospect Reservoir,1030,Sydney,2024-07-10
20aa1068ea6186bb50fa07d6fbd09b58,116031319,11319,Rooty Hill - Minchinbury,1030,Sydney,2024-07-10
d7c667fa314450fa65e3f2ac21255c4d,117011320,11320,Banksmeadow,1030,Sydney,2024-07-10
bdf7dfd6e8228afbfe657917548ddbeb,117011321,11321,Botany,1030,Sydney,2024-07-10
87065d0badb47cfff1d73b60718bcba2,117011322,11322,Mascot - Eastlakes,1030,Sydney,2024-07-10
9d7030fd357945c408cdba45ddc79d36,117011323,11323,Pagewood - Hillsdale - Daceyville,1030,Sydney,2024-07-10
1c23c45ec57c31ca5b118771306ec194,117011324,11324,Port Botany Industrial,1030,Sydney,2024-07-10
3dd0e1dfb4445017596276ff74f64450,117011325,11325,Sydney Airport,1030,Sydney,2024-07-10
